location,key,category,policy_id,grade,similarity,statement_match,role_match,category_match,reasoning
Austin_US,Mitigation::gt49_ext1_Ensure an adequately educated workforce to install and maintain new and existing,Mitigation,Ensure an adequately educated workforce to install and maintain new and existing,-1,0.5643,False,True,False,"The extracted policy does not match the ground-truth policy’s core commitment. Ground truth is about expanding culturally competent outreach on EV charging incentives and installation to specific stakeholder groups (community groups, professional organizations, unions, property managers). The extracted policy instead focuses on workforce education/training programs for low-income communities and communities of color across a broad set of green technologies, with EV charging installation only one example. It misses the outreach component, the incentive focus, and the target audiences, so this is not a meaningful match."
Austin_US,"Mitigation::gt3_ext15_Strategy 3: Achieve energy-efficient, net-zero carbon buildings",Mitigation,"Strategy 3: Achieve energy-efficient, net-zero carbon buildings",0,0.7381,False,False,True,"The extracted policy matches the general intent of the ground-truth by identifying a strategy to achieve energy-efficient, net-zero carbon buildings. However, it is substantially less specific: it omits the delivery mechanisms in the ground-truth, including new energy codes, amendments, incentives, education, and collaboration with utilities, and it does not mention applicability to both new and existing buildings. With no source excerpt provided, there is no basis to verify stronger alignment. This is directionally correct but too vague for a full match."
Austin_US,"Mitigation::gt1_ext20_Ensure all new programs are created with equity principles, are guided by commun",Mitigation,"Ensure all new programs are created with equity principles, are guided by commun",0,0.7221,False,True,True,"The extracted policy is directionally aligned with the ground truth in focusing on low-income communities and communities of color, and it includes mechanisms such as collaboration, community input, and expansion of weatherization/energy services. However, it does not fully match the ground-truth commitment: it shifts toward equity principles for all new programs and prioritizing net-zero carbon buildings, while the reference policy is specifically about a comprehensive energy poverty mitigation strategy ensuring building repair, conservation, and renewable energy benefits flow to those communities through partnerships and programs. Key elements like building repair, conservation, and the explicit framing of energy poverty mitigation are missing or softened. No source excerpt is provided to verify wording or binding strength."
Austin_US,Mitigation::gt6_ext27_Strategy 1: Capture and destroy old refrigerants,Mitigation,Strategy 1: Capture and destroy old refrigerants,0,0.7583,False,False,True,"The extracted policy matches the general intent of the ground-truth: capturing and destroying old refrigerants. However, it is much less specific and omits key details from the ground-truth, including the mechanism of a refrigerant destruction program and especially the pricing element targeting older high-ozone-depleting and high-global-warming-potential refrigerants to increase capture and safe destruction. With no source excerpt provided, this is directionally correct but too vague for a full match."
Austin_US,Mitigation::gt7_ext28_Strategy 2: Improve building codes to encourage cleaner refrigerants,Mitigation,Strategy 2: Improve building codes to encourage cleaner refrigerants,0,0.7283,False,False,True,"The extracted policy is directionally aligned with the ground-truth: both concern building codes and encouraging lower-impact refrigerants. However, it is less specific and weaker. It omits the key details to 'follow revised building code developments,' 'move forward with local code amendments and actions,' the low-/no-GWP qualifier, and the timing 'as soon as feasible.' Because the general intent is correct but important scope, mechanism, and specificity are missing, the match is partial rather than exact."
Austin_US,Mitigation::gt8_ext29_Strategy 3: Create incentives for leak detection and repair,Mitigation,Strategy 3: Create incentives for leak detection and repair,0,0.6245,False,False,True,"The extracted policy matches the general intent of incentivizing leak detection and repair, which aligns with the ground-truth. However, it omits important scope and specificity from the ground-truth: it does not mention commercial refrigeration and HVAC stakeholders, does not include leak prevention, and provides no detail on the partnership mechanism. With no source excerpt available to verify stronger wording, this is directionally correct but incomplete."
Austin_US,Mitigation::gt9_ext30_Strategy 4: Awareness and training for HVAC service providers,Mitigation,Strategy 4: Awareness and training for HVAC service providers,0,0.7031,False,False,True,"The extracted policy matches the general topic of the ground-truth—awareness and training for HVAC providers—but it is less specific. It omits key elements in the ground-truth: the inclusion of building stakeholders, the campaign framing, and the substantive focus on refrigerant management and leak prevention, detection, and repair. With no source excerpt provided, this is best graded as directionally correct but too vague."
Austin_US,Mitigation::gt10_ext31_Strategy 5: Reduce the volume of refrigerants,Mitigation,Strategy 5: Reduce the volume of refrigerants,0,0.7203,False,False,True,"The extracted policy is directionally aligned with the ground-truth because both concern reducing refrigerant use/volume. However, it is less specific and weaker: it omits the prevention aspect ('reduce and prevent'), the qualifier 'to the extent possible,' and especially the focus on refrigerants with high global warming potential. With no source excerpt provided, there is no basis to verify stronger equivalence. This is a partial but vague match."
Austin_US,"Mitigation::gt13_ext33_For example, encourage lower-carbon building materials, whole-building lifecycle",Mitigation,"For example, encourage lower-carbon building materials, whole-building lifecycle",0,0.7441,False,True,False,"The extracted policy is directionally aligned with the ground-truth on promoting lower-carbon building materials and deconstruction/building reuse practices. However, it misses key scope and mechanism details: the ground-truth specifies integrating these practices into city incentive programs and transitioning voluntary guidance into development agreements over time. The extraction instead refers to City-funded projects and purchasing policies, which is a different implementation mechanism and omits the development agreement transition. With no source excerpt provided to verify wording, this is a partial but imprecise match rather than a full one."
Austin_US,Mitigation::gt15_ext35_Strategy 2: Incentivize lower-carbon materials,Mitigation,Strategy 2: Incentivize lower-carbon materials,0,0.6429,False,False,True,"The extracted policy is directionally aligned with the ground-truth because both concern promoting lower-carbon/decarbonized building materials. However, it is much vaguer and misses key specificity: the ground-truth emphasizes prioritizing partnerships in local materials markets as the mechanism and lists specific high-impact materials (glass, steel, aluminum, concrete, drywall, insulation, carpet). The extraction only states a general strategy to incentivize lower-carbon materials, so it captures intent but not the delivery mechanism or scope."
